v
  0.176, reliability : -0.545, time : 220393970.000
mean :  4.766, stdev :  0.290, reliability :  0.939, time : 228009200.000
mean :  4.765, stdev :  0.290, reliability :  0.939, time : 228032380.000
mean :  4.759, stdev :  0.293, reliability :  0.939, time : 228055570.000
mean :  4.768, stdev :  0.291, reliability :  0.939, time : 228078750.000
mean :  4.765, stdev :  0.290, reliability :  0.939, time : 228101900.000
mean :  4.762, stdev :  0.290, reliability :  0.939, time : 228125090.000
mean :  4.767, stdev :  0.292, reliability :  0.939, time : 228148290.000
mean :  4.762, stdev :  0.292, reliability :  0.939, time : 228171410.000
mean :  4.769, stdev :  0.291, reliability :  0.939, time : 228194580.000
mean :  4.763, stdev :  0.290, reliability :  0.939, time : 228217780.000
mean :  4.762, stdev :  0.290, reliability :  0.939, time : 228240960.000
mean :  4.768, stdev :  0.291, reliability :  0.939, time : 228264140.000
mean :  4.761, stdev :  0.292, reliability :  0.939, time : 228287250.000
mean :  4.765, stdev :  0.290, reliability :  0.939, time : 228310450.000
mean :  4.762, stdev :  0.291, reliability :  0.939, time : 228333620.000
mean :  4.760, stdev :  0.294, reliability :  0.938, time : 228356800.000
mean :  4.769, stdev :  0.291, reliability :  0.939, time : 228379920.000
mean :  4.764, stdev :  0.291, reliability :  0.939, time : 228403060.000
mean :  4.763, stdev :  0.292, reliability :  0.939, time : 228426260.000
mean :  4.765, stdev :  0.290, reliability :  0.939, time : 228449440.000
mean :  4.760, stdev :  0.293, reliability :  0.938, time : 228472590.000
mean :  4.769, stdev :  0.290, reliability :  0.939, time : 228495790.000
mean :  4.765, stdev :  0.290, reliability :  0.939, time : 228518980.000
mean :  4.763, stdev :  0.291, reliability :  0.939, time : 228542160.000
mean :  4.768, stdev :  0.291, reliability :  0.939, time : 228565280.000
mean :  4.762, stdev :  0.292, reliability :  0.939, time : 228588420.000
mean :  4.765, stdev :  0.292, reliability :  0.939, time : 228611600.000
mean :  4.764, stdev :  0.289, reliability :  0.939, time : 228634750.000
mean :  4.760, stdev :  0.292, reliability :  0.939, time : 228657890.000
mean :  4.765, stdev :  0.292, reliability :  0.939, time : 228681070.000
mean :  4.758, stdev :  0.293, reliability :  0.938, time : 228704190.000
mean :  4.764, stdev :  0.291, reliability :  0.939, time : 228727380.000
mean :  4.763, stdev :  0.291, reliability :  0.939, time : 228750560.000
mean :  4.761, stdev :  0.293, reliability :  0.938, time : 228773730.000
mean :  4.766, stdev :  0.293, reliability :  0.939, time : 228796910.000
mean :  4.760, stdev :  0.292, reliability :  0.939, time : 228820060.000
mean :  4.766, stdev :  0.290, reliability :  0.939, time : 228843220.000
mean :  4.766, stdev :  0.292, reliability :  0.939, time : 228866400.000
mean :  4.760, stdev :  0.292, reliability :  0.939, time : 228889550.000
mean :  4.766, stdev :  0.292, reliability :  0.939, time : 228912770.000
mean :  4.762, stdev :  0.291, reliability :  0.939, time : 228935920.000
mean :  4.763, stdev :  0.290, reliability :  0.939, time : 228959070.000
