mean :  1.673, stdev :  1.244, reliability :  0.256, time : 282471580.000
mean :  1.708, stdev :  1.251, reliability :  0.267, time : 282494240.000
mean :  1.692, stdev :  1.249, reliability :  0.261, time : 282517020.000
mean :  1.669, stdev :  1.239, reliability :  0.258, time : 282539810.000
mean :  1.703, stdev :  1.248, reliability :  0.267, time : 282562460.000
mean :  1.671, stdev :  1.248, reliability :  0.253, time : 282585280.000
mean :  1.692, stdev :  1.243, reliability :  0.265, time : 282607940.000
mean :  1.717, stdev :  1.240, reliability :  0.278, time : 282630750.000
mean :  1.654, stdev :  1.244, reliability :  0.248, time : 282653540.000
mean :  1.707, stdev :  1.255, reliability :  0.264, time : 282676260.000
mean :  1.708, stdev :  1.233, reliability :  0.278, time : 282699100.000
mean :  1.663, stdev :  1.242, reliability :  0.253, time : 282721920.000
mean :  1.704, stdev :  1.256, reliability :  0.263, time : 282744580.000
mean :  1.691, stdev :  1.249, reliability :  0.261, time : 282767360.000
mean :  1.669, stdev :  1.240, reliability :  0.257, time : 282790140.000
mean :  1.702, stdev :  1.249, reliability :  0.266, time : 282812800.000
mean :  1.677, stdev :  1.253, reliability :  0.252, time : 282835620.000
mean :  1.688, stdev :  1.248, reliability :  0.261, time : 282858270.000
mean :  1.716, stdev :  1.241, reliability :  0.277, time : 282881020.000
mean :  1.661, stdev :  1.247, reliability :  0.249, time : 282903900.000
mean :  1.707, stdev :  1.253, reliability :  0.266, time : 282926530.000
mean :  1.711, stdev :  1.232, reliability :  0.280, time : 282949310.000
mean :  1.666, stdev :  1.243, reliability :  0.254, time : 282972130.000
mean :  1.701, stdev :  1.254, reliability :  0.263, time : 282994780.000
mean :  1.692, stdev :  1.241, reliability :  0.266, time : 283017600.000
mean :  1.665, stdev :  1.238, reliability :  0.257, time : 283040350.000
mean :  1.701, stdev :  1.247, reliability :  0.267, time : 283063010.000
mean :  1.674, stdev :  1.251, reliability :  0.253, time : 283085820.000
mean :  1.685, stdev :  1.242, reliability :  0.263, time : 283108510.000
mean :  1.715, stdev :  1.241, reliability :  0.276, time : 283131300.000
mean :  1.655, stdev :  1.243, reliability :  0.249, time : 283154110.000
mean :  1.697, stdev :  1.247, reliability :  0.265, time : 283176770.000
mean :  1.711, stdev :  1.235, reliability :  0.278, time : 283199520.000
mean :  1.656, stdev :  1.239, reliability :  0.252, time : 283222340.000
mean :  1.698, stdev :  1.251, reliability :  0.263, time : 283244960.000
mean :  1.693, stdev :  1.238, reliability :  0.269, time : 283267780.000
mean :  1.667, stdev :  1.239, reliability :  0.257, time : 283290560.000
mean :  1.703, stdev :  1.252, reliability :  0.265, time : 283313250.000
mean :  1.682, stdev :  1.255, reliability :  0.254, time : 283336060.000
mean :  1.689, stdev :  1.245, reliability :  0.263, time : 283358750.000
mean :  1.719, stdev :  1.249, reliability :  0.273, time : 283381470.000
mean :  1.662, stdev :  1.250, reliability :  0.248, time : 283404290.000
mean :  1.702, stdev :  1.256, reliability :  0.262, time : 283426940.000
mean :  1.719, stdev :  1.236, reliability :  0.281, time : 283449730.000
mean :  1.669, stdev :  1.246, reliability :  0.253, time : 283472510.000
mean :  1.702, stdev :  1.255, reliability :  0.262, time : 283495170.000
mean :  1.701, stdev :  1.240, reliability :  0.271, time : 283517920.000
mean :  1.664, stdev :  1.241, reliability :  0.255, time : 283540770.000
mean :  1.707, stdev :  1.250, reliability :  0.268, time : 283563420.000
mean :  1.681, stdev :  1.250, reliability :  0.257, time : 283586240.000
mean :  1.678, stdev :  1.242, reliability :  0.260, time : 283608990.000
mean :  1.716, stdev :  1.245, reliability :  0.274, time : 283631680.000
mean :  1.657, stdev :  1.245, reliability :  0.248, time : 283654500.000
mean :  1.689, stdev :  1.254, reliability :  0.258, time : 283677150.000
mean :  1.714, stdev :  1.235, reliability :  0.280, time : 283699900.000
mean :  1.653, stdev :  1.240, reliability :  0.250, time : 283722720.000
mean :  1.691, stdev :  1.254, reliability :  0.258, time : 283745410.000
mean :  1.691, stdev :  1.237, reliability :  0.269, time : 283768190.000
mean :  1.659, stdev :  1.241, reliability :  0.252, time : 283790980.000
mean :  1.690, stdev :  1.254, reliability :  0.258, time : 283813630.000
mean :  1.684, stdev :  1.249, reliability :  0.258, time : 283836420.000
mean :  1.668, stdev :  1.238, reliability :  0.258, time : 283859200.000
mean :  1.706, stdev :  1.244, reliability :  0.271, time : 283881860.000
mean :  1.656, stdev :  1.252, reliability :  0.244, time : 283904670.000
mean :  1.683, stdev :  1.258, reliability :  0.252, time : 283927300.000
mean :  1.709, stdev :  1.250, reliability :  0.269, time : 283950080.000
mean :  1.662, stdev :  1.248, reliability :  0.249, time : 283972930.000
mean :  1.706, stdev :  1.254, reliability :  0.265, time : 283995620.000
mean :  1.707, stdev :  1.233, reliability :  0.278, time : 284018370.000
mean :  1.664, stdev :  1.242, reliability :  0.253, time : 284041180.000
mean :  1.701, stdev :  1.252, reliability :  0.264, time : 284063810.000
