 0.000, reliability :    NAN, time : 583165700.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 589686140.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 589707200.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 589728260.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 589749440.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 589770500.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 589791680.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 589812740.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 589833660.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 589854720.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 589875840.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 589896960.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 589918080.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 589939330.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 589960260.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 589981180.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 590002240.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 590023420.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 590044420.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 590065540.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 590086660.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 590107780.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 590128640.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 590149700.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 590170880.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 590191870.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 590213060.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 590234240.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 590255230.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 590276100.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 590297150.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 590318340.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 590339390.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 590360510.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 590381700.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 590402690.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 590423680.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 590444740.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 590465860.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 590486910.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 590508100.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 590529280.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 590550210.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 590571140.000
